phenotype	locus_name	gene_name	gene_locusdist_kbp
QT	rs2485376	SUFU	213723
QT	rs2485376	HPS6	224900
QT	rs295140	SPATS2L	9905
QT	rs295140	SGO2	214032
QT	rs295140	KCTD18	214092
QT	rs3105593	TRPM7	22187
QT	rs3105593	USP50	55741
QT	rs3105593	USP8	128441
QT	rs3105593	GABPB1	197623
QT	rs3105593	SPPL2A	212885
QT	rs404321	TRIM74	11362
QT	rs404321	SPDYE8	64128
QT	rs404321	POM121	76242
QT	rs404321	SPDYE11	92271
QT	rs404321	SPDYE9	120381
QT	rs404321	TYW1B	127417
QT	rs404321	SPDYE10	148417
QT	rs457162	SLC35F1	307556
QT	rs246196+rs4784934	SETD6	24870
QT	rs246196+rs4784934	NDRG4	36824
QT	rs246196+rs4784934	CNOT1	89477
QT	rs246196+rs4784934	GINS3	130942
QT	rs246196+rs4784934	PRSS54	130997
QT	rs246196+rs4784934	SLC38A7	144374
QT	rs246196+rs4784934	GOT2	193967
QT	rs246196+rs4784934	CCDC113	194865
QT	rs246196+rs4784934	CSNK2A2	233136
QT	rs545833	DPT	25234
QT	rs545833	XCL1	144097
QT	rs545833	XCL2	179934
QT	rs12997023+rs6544311	SLC8A1	73773
QT	rs2074238+rs2301696+rs7122937	TSSC4	5266
QT	rs2074238+rs2301696+rs7122937	TRPM5	17258
QT	rs2074238+rs2301696+rs7122937	KCNQ1	18889
QT	rs2074238+rs2301696+rs7122937	CD81	29577
QT	rs2074238+rs2301696+rs7122937	TSPAN32	103757
QT	rs2074238+rs2301696+rs7122937	C11orf21	103836
QT	rs2074238+rs2301696+rs7122937	ASCL2	137256
QT	rs2074238+rs2301696+rs7122937	TH	233949
QT	rs2074238+rs2301696+rs7122937	INS	244550
QT	rs1296720+rs7195486	SRL	36896
QT	rs1296720+rs7195486	TFAP4	53619
QT	rs1296720+rs7195486	CREBBP	98587
QT	rs1296720+rs7195486	GLIS2	109582
QT	rs1296720+rs7195486	PAM16	146086
QT	rs1296720+rs7195486	TRAP1	161651
QT	rs1296720+rs7195486	ADCY9	165359
QT	rs1296720+rs7195486	VASN	166669
QT	rs1296720+rs7195486	CORO7-PAM16	211408
QT	rs1296720+rs7195486	CORO7	211417
QT	rs1296720+rs7195486	DNASE1	211913
QT	rs1296720+rs7195486	DNAJA3	220626
QT	rs1296720+rs7195486	SLX4	242460
QT	rs728478	YPEL2	57488
QT	rs728478	GDPD1	168676
QT	rs728478	DHX40	176467
QT	rs728478	SMG8	179743
QT	rs728478	CLTC	230715
QT	rs728478	PRR11	233411
QT	rs728478	SKA2	233957
QT	rs728926	KLF12	252896
QT	rs12444261+rs12930096+rs735951	LITAF	10017
QT	rs12444261+rs12930096+rs735951	SNN	27669
QT	rs12444261+rs12930096+rs735951	TXNDC11	38297
QT	rs12444261+rs12930096+rs735951	ZC3H7A	141766
QT	rs12444261+rs12930096+rs735951	RSL1D1	210756
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	SH2D1B	638
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	NOS1AP	5674
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	SPATA46	24495
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	OLFML2B	27288
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	C1orf226	30133
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	UHMK1	85753
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	UAP1	150224
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	DDR2	219875
QT	rs12143842+rs164133+rs16857031+rs17457880+rs17460657+rs347272+rs3934467+rs4656345+rs4657172+rs6669543+rs7545047	ATF6	244937
QT	rs7808970	NYAP1	812
QT	rs7808970	TSC22D4	5613
QT	rs7808970	C7orf61	26495
QT	rs7808970	PPP1R35	46979
QT	rs7808970	MEPCE	54793
QT	rs7808970	AGFG2	56088
QT	rs7808970	ZCWPW1	81072
QT	rs7808970	SAP25	90532
QT	rs7808970	LRCH4	93828
QT	rs7808970	FBXO24	100867
QT	rs7808970	PILRA	115585
QT	rs7808970	PCOLCE	119248
QT	rs7808970	MOSPD3	128987
QT	rs7808970	PILRB	130939
QT	rs7808970	TFR2	158435
QT	rs7808970	ACTL6B	159982
QT	rs7808970	SPDYE3	175413
QT	rs7808970	GNB2	190452
QT	rs7808970	GIGYF1	206333
QT	rs7808970	POP7	223006
QT	rs7808970	EPO	237353
QT	rs9892651	PRKCA	5039
QT	rs9892651	APOH	78260
QT	rs9920	CAV1	35044
QT	rs9920	MET	112158
QT	rs1042391+rs7765828	GMPR	51943
QT	rs1042391+rs7765828	MYLIP	161444
QT	rs1047640+rs938291	SP3	37237
QT	rs116202356	DLEC1	23080
QT	rs116202356	PLCD1	53950
QT	rs116202356	ACAA1	60798
QT	rs116202356	VILL	74226
QT	rs116202356	MYD88	76193
QT	rs116202356	OXSR1	102804
QT	rs116202356	CTDSPL	200325
QT	rs116202356	SLC22A13	203527
QT	rs116202356	SLC22A14	220009
QT	rs1361754+rs1775154	PM20D1	4719
QT	rs1361754+rs1775154	NUCKS1	14665
QT	rs1361754+rs1775154	SLC41A1	19546
QT	rs1361754+rs1775154	RAB29	40499
QT	rs1361754+rs1775154	SLC45A3	64819
QT	rs1361754+rs1775154	ELK4	95594
QT	rs1361754+rs1775154	SLC26A9	103078
QT	rs1361754+rs1775154	MFSD4A	158602
QT	rs1361754+rs1775154	RAB7B	170651
QT	rs1361754+rs1775154	CTSE	175791
QT	rs1361754+rs1775154	RHEX	220429
QT	rs1361754+rs1775154	CDK18	222891
QT	rs1801725	CSTA	40338
QT	rs1801725	CCDC58	74681
QT	rs1801725	FAM162A	99251
QT	rs1801725	CASR	101242
QT	rs1801725	WDR5B	126936
QT	rs1801725	CD86	229548
QT	rs1801725	KPNA1	230029
QT	rs1805123+rs2072413+rs3807375	KCNH2	4923
QT	rs1805123+rs2072413+rs3807375	NOS3	20895
QT	rs1805123+rs2072413+rs3807375	ATG9B	42663
QT	rs1805123+rs2072413+rs3807375	ABCB8	58300
QT	rs1805123+rs2072413+rs3807375	ASIC3	78170
QT	rs1805123+rs2072413+rs3807375	CDK5	83693
QT	rs1805123+rs2072413+rs3807375	SLC4A2	87088
QT	rs1805123+rs2072413+rs3807375	FASTK	110672
QT	rs1805123+rs2072413+rs3807375	TMUB1	112969
QT	rs1805123+rs2072413+rs3807375	AGAP3	115709
QT	rs1805123+rs2072413+rs3807375	AOC1	123819
QT	rs1805123+rs2072413+rs3807375	TMEM176A	148043
QT	rs1805123+rs2072413+rs3807375	TMEM176B	148094
QT	rs1805123+rs2072413+rs3807375	GBX1	197572
QT	rs1805123+rs2072413+rs3807375	ASB10	217128
QT	rs1805123+rs2072413+rs3807375	IQCA1L	220751
QT	rs1805123+rs2072413+rs3807375	GIMAP5	226193
QT	rs1805123+rs2072413+rs3807375	GIMAP1-GIMAP5	231778
QT	rs1805123+rs2072413+rs3807375	GIMAP1	231840
QT	rs1805123+rs2072413+rs3807375	H2BE1	237715
QT	rs1805123+rs2072413+rs3807375	ABCF2-H2BE1	237715
QT	rs1805123+rs2072413+rs3807375	ABCF2	241362
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	PLN	17502
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	SSXP10	22930
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	CEP85L	27478
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	MCM9	90707
QT	rs11153730+rs12210733+rs3734381+rs3734382+rs3902035+rs9489510	ASF1A	171417
QT	rs55910611	SLC4A3	8296
QT	rs55910611	STK11IP	37833
QT	rs55910611	OBSL1	64151
QT	rs55910611	INHA	66528
QT	rs55910611	TMEM198	92027
QT	rs55910611	CHPF	96736
QT	rs55910611	ASIC4	121520
QT	rs55910611	GMPPA	136825
QT	rs55910611	SPEGNB	139559
QT	rs55910611	SPEG	200847
QT	rs55910611	DES	217313
QT	rs55910611	DNPEP	247894
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	ATP1B1	4485
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	SLC19A2	13036
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	F5	33866
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	CCDC181	49471
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	NME7	58888
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	SELP	66604
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	BLZF1	108975
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	C1orf112	109392
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	SELL	159005
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	SELE	181044
QT	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	METTL18	242074
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	SCN5A	16941
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	SCN10A	22993
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	EXOG	55775
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	ACVR2B	98012
QT	rs11708996+rs11710077+rs12053903+rs1805124+rs6599234+rs6793245+rs6795970+rs6801957	XYLB	205142
QT	rs2273042+rs709209+rs846111	CHD5	12725
QT	rs2273042+rs709209+rs846111	RNF207	12879
QT	rs2273042+rs709209+rs846111	ICMT	16654
QT	rs2273042+rs709209+rs846111	RPL22	18759
QT	rs2273042+rs709209+rs846111	HES3	24869
QT	rs2273042+rs709209+rs846111	GPR153	28043
QT	rs2273042+rs709209+rs846111	KCNAB2	98135
QT	rs2273042+rs709209+rs846111	ACOT7	174051
QT	rs2273042+rs709209+rs846111	HES2	193108
QT	rs2273042+rs709209+rs846111	ESPN	205466
QT	rs2273042+rs709209+rs846111	NPHP4	221410
QT	rs2273042+rs709209+rs846111	TNFRSF25	246160
QT	rs10497520+rs72648998+rs7561149	CCDC141	4628
QT	rs10497520+rs72648998+rs7561149	TTN	17706
QT	rs10497520+rs72648998+rs7561149	PLEKHA3	230327
QT	rs10497520+rs72648998+rs7561149	FKBP7	247120
QT	rs3857067+rs7439869	SMARCAD1	45017
QT	rs3857067+rs7439869	HPGDS	90208
QT	rs3857067+rs7439869	PDLIM5	199258
QT	rs1052536+rs2230553+rs9635769	CCT6B	58
QT	rs1052536+rs2230553+rs9635769	ZNF830	196
QT	rs1052536+rs2230553+rs9635769	LIG3	19168
QT	rs1052536+rs2230553+rs9635769	RFFL	59151
QT	rs1052536+rs2230553+rs9635769	RAD51D	115304
QT	rs1052536+rs2230553+rs9635769	FNDC8	117059
QT	rs1052536+rs2230553+rs9635769	NLE1	137747
QT	rs1052536+rs2230553+rs9635769	UNC45B	143261
QT	rs1052536+rs2230553+rs9635769	SLC35G3	187964
QT	rs1052536+rs2230553+rs9635769	SLFN5	238515
QT	rs3189030	NRAP	29876
QT	rs3189030	CASP7	44992
QT	rs3189030	HABP2	81117
QT	rs3189030	PLEKHS1	117092
QT	rs3189030	DCLRE1A	219912
QT	rs3189030	NHLRC2	220491
QT	rs11068997+rs3026445+rs75714509	ATP2A2	4642
QT	rs11068997+rs3026445+rs75714509	TCTN1	28265
QT	rs11068997+rs3026445+rs75714509	TCHP	45072
QT	rs11068997+rs3026445+rs75714509	HVCN1	47125
QT	rs11068997+rs3026445+rs75714509	GIT2	50959
QT	rs11068997+rs3026445+rs75714509	ANKRD13A	53850
QT	rs11068997+rs3026445+rs75714509	GLTP	94391
QT	rs11068997+rs3026445+rs75714509	PPP1CC	100599
QT	rs11068997+rs3026445+rs75714509	C12orf76	103219
QT	rs11068997+rs3026445+rs75714509	PPTC7	109047
QT	rs11068997+rs3026445+rs75714509	ANAPC7	118310
QT	rs11068997+rs3026445+rs75714509	TRPV4	130445
QT	rs11068997+rs3026445+rs75714509	RAD9B	140637
QT	rs11068997+rs3026445+rs75714509	VPS29	151209
QT	rs11068997+rs3026445+rs75714509	IFT81	161063
QT	rs11068997+rs3026445+rs75714509	ARPC3	164939
QT	rs11068997+rs3026445+rs75714509	FAM216A	173877
QT	rs11068997+rs3026445+rs75714509	GPN3	174035
QT	rs11068997+rs3026445+rs75714509	CCDC63	204477
QT	rs11068997+rs3026445+rs75714509	FAM222A	231511
