locus_chr	locus_start	locus_end	locus_name	locus_ngene	locus_width	locus_pheno	locus_mindistgene	locus_nspecialgene	locus_ninteractiongene	locus_hisig_type	gene_tss	gene_end	gene_locusdist_kbp	gene_closestsnp	gene_name	gene_type	gene_prob_selected	gene_signet	gene_mindist	gene_special	gene_signet+	distance_score	special_score	ppi_score	TF_score	total_score	exp_score	gene_hisig_type	ppi_deg	ppi_deg_active_cnt	ppi_deg_active_names	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6101787	6180321	12.725	rs2273042	CHD5	protein_coding	0.0	.	.	.	.	-23.913953263078334	0.0	86.74328622534155	1.956110425985344	64.78544338824855	0.004202066731242848	poorsig	3	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6199595	6209389	12.482	rs145358377	RPL22	protein_coding	0.0	.	.	.	.	-23.913701214517022	0.0	84.06821115612169	1.956110425985344	62.110620367590016	0.00028960234024898586	poorsig	19	2	CALM1:omim;FGFR1	0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6205475	6221299	6.602	rs145358377	RNF207	protein_coding	1.0	signet	mindist	exome	signet+	-23.90907247239937	3.960854043481216	88.18989231068268	1.956110425985344	70.19778430774987	0.9419172282602998	exome	1	1	KCNH2:exome,omim	0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6235964	6235972	16.654	rs846111	ICMT	protein_coding	0.0	.	.	.	.	-23.91869122813212	0.0	86.47638873083744	1.956110425985344	64.51380792869067	0.003202529683402079	poorsig	4	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6244179	6245578	24.869	rs846111	HES3	protein_coding	0.0	.	.	.	.	-23.93256277921128	0.0	87.54849166290128	1.956110425985344	65.57203930967535	0.009227354655381177	poorsig	0	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6247353	6261098	28.043	rs846111	GPR153	protein_coding	0.0	.	.	.	.	-23.93932224727581	0.0	87.54849166290128	1.956110425985344	65.56527984161082	0.009165192972904348	poorsig	0	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6393361	6393767	174.051	rs846111	ACOT7	protein_coding	0.0	.	.	.	.	-24.72030907376278	0.0	88.93294397353809	1.956110425985344	66.16874532576065	0.01675804465085512	poorsig	5	3	ANK2:omim;CAV1:coloc;DCTD	0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6412418	6424670	193.108	rs846111	HES2	protein_coding	0.0	.	.	.	.	-24.8412276975872	0.0	87.54849166290128	1.956110425985344	64.66337439129943	0.0037191958894762372	poorsig	0	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	HR+JT+QT	RNF207	1.0	7.0	exome	6424776	6461367	205.466	rs846111	ESPN	protein_coding	0.0	.	.	.	.	-24.91835248448557	0.0	87.54849166290128	1.956110425985344	64.58624960440105	0.0034431360525633537	poorsig	0	0		0	0	.	0	0	.
1	5867652	6466175	rs145358377+rs200882245+rs2273042+rs709209+rs846111	12	598.523	JT+QT	RNF207	1.0	7.0	exome	6465470	6466175	246.16	rs846111	TNFRSF25	protein_coding	0.0	.	.	.	.	-25.16282938617052	0.0	87.54849166290128	1.956110425985344	64.3417727027161	0.0026963683110039706	poorsig	0	0		0	0	.	0	0	.
1	9823965	10181239	rs182770070	6	357.274	HR	NMNAT1	0.0	4.0	poorsig	9823965	9823984	116.453	rs182770070	CLSTN1	protein_coding	0.0	.	.	.	.	-24.35304542736237	0.0	86.84815164597946	1.9067209468289343	64.40182716544602	0.05960509419889623	poorsig	7	1	SLC8A1	0	0	.	0	0	.
1	9823965	10181239	rs182770070	6	357.274	HR	NMNAT1	0.0	4.0	poorsig	9910269	9910336	30.149	rs182770070	CTNNBIP1	protein_coding	1.0	signet	.	.	signet+	-23.94422613814123	0.0	88.18989231068268	1.956110425985344	66.20177659852679	0.3605715735318108	poorsig	2	1	TCF7L2	0	0	.	0	0	.
1	9823965	10181239	rs182770070	6	357.274	HR	NMNAT1	0.0	4.0	poorsig	9935620	9943407	4.798	rs182770070	LZIC	protein_coding	0.0	.	.	.	.	-23.908221828397032	0.0	87.81795870722344	1.9067209468289343	65.81645782565535	0.2452729577788011	poorsig	0	0		0	0	.	0	0	.
1	9823965	10181239	rs182770070	6	357.274	HR	NMNAT1	0.0	4.0	poorsig	9943428	9985501	3.01	rs182770070	NMNAT1	protein_coding	0.0	.	mindist	.	.	-23.90764396660244	0.0	86.21111927511697	1.9067209468289343	64.21019625534348	0.04921065344296953	mindist	6	0		0	0	.	0	0	.
1	9823965	10181239	rs182770070	6	357.274	HR	NMNAT1	0.0	4.0	poorsig	9997206	10016021	56.788	rs182770070	RBP7	protein_coding	0.0	.	.	.	.	-24.032643244349234	0.0	87.81795870722344	1.9067209468289343	65.69203640970315	0.21657789780056386	poorsig	0	0		0	0	.	0	0	.
1	9823965	10181239	rs182770070	6	357.274	HR	NMNAT1	0.0	4.0	poorsig	10032832	10181239	92.414	rs182770070	UBE4B	protein_coding	0.0	.	.	.	.	-24.21013777465492	0.0	86.84815164597946	1.9067209468289343	64.54473481815347	0.06876182324695855	poorsig	6	1	PDE3A	0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11650770	11655785	176.476	rs7537765	FBXO2	protein_coding	0.0	.	.	.	.	-24.735803322356944	0.0	85.62480575108295	1.956110425985344	62.84511285471135	0.01598206332896699	poorsig	4	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11654375	11663327	172.871	rs7537765	FBXO44	protein_coding	0.0	.	.	.	.	-24.71276061785893	0.0	85.8903763004605	1.956110425985344	63.13372610858692	0.021329269947490997	poorsig	3	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11664200	11674354	163.046	rs7537765	FBXO6	protein_coding	0.0	.	.	.	.	-24.64972813569213	0.0	76.32032247059468	1.956110425985344	53.62670476088789	1.5853643212922596e-06	poorsig	34	2	GNB4:coloc;STK38	0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11674480	11691650	152.766	rs7537765	MAD2L2	protein_coding	0.0	.	.	.	.	-24.58358819795636	0.0	83.09772545367748	1.956110425985344	60.47024768170647	0.0014867638994725259	poorsig	20	3	ATP2A2;DTWD2;TCF7L2	0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11691710	11725857	135.536	rs7537765	DRAXIN	protein_coding	0.0	.	.	.	.	-24.47308071995814	0.0	86.69160360706397	1.956110425985344	64.17463331309116	0.06039990365614145	poorsig	0	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11736084	11754802	91.162	rs7537765	AGTRAP	protein_coding	1.0	signet	.	.	signet+	-24.20308073585568	0.0	88.18989231068268	1.956110425985344	65.94292200081235	0.35399266676414387	poorsig	8	4	FARS2;NDRG4:coloc;SENP2:exome;ZNF391	0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11761787	11789585	65.459	rs7537765	C1orf167	protein_coding	0.0	.	.	.	.	-24.07064339273336	0.0	86.69160360706397	1.956110425985344	64.57707064031595	0.09032595384006993	poorsig	0	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11805413	11806455	21.833	rs7537765	MTHFR	protein_coding	0.0	.	.	.	.	-23.926820243919984	0.0	86.42377269230444	1.956110425985344	64.4530628743698	0.0797915070718707	poorsig	1	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11806191	11848079	21.055	rs7537765	CLCN6	protein_coding	0.0	.	.	.	.	-23.925464043571417	0.0	86.69160360706397	1.956110425985344	64.72224998947789	0.10443910624790236	poorsig	0	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11847783	11848345	20.537	rs7537765	NPPA	protein_coding	0.0	.	mindist	.	.	-23.92458738011341	0.0	86.9050892221422	1.9741527886832344	64.95465463071201	0.13176352351953308	mindist	6	2	OBSCN;PM20D1:exome	1	1	TBX5	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11857464	11858945	30.218	rs7537765	NPPB	protein_coding	0.0	.	.	.	.	-23.9443923903016	0.0	86.15669777095327	1.9741527886832344	64.18645816933491	0.061118363303368894	poorsig	2	0		1	1	NKX2-5	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11926427	11926428	99.181	rs7537765	KIAA2013	protein_coding	0.0	.	.	.	.	-24.24904015504012	0.0	85.62480575108295	1.956110425985344	63.33187602202817	0.02600347593203607	poorsig	4	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11934205	11975538	106.959	rs7537765	PLOD1	protein_coding	0.0	.	.	.	.	-24.295145965880423	0.0	84.15913851021266	1.956110425985344	61.82010297031758	0.005734251152450914	poorsig	12	1	CAND2	0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	11980181	12015211	152.935	rs7537765	MFN2	protein_coding	0.0	.	.	.	.	-24.584675701534188	0.0	84.8325745224764	1.9741527886832344	62.22205160962545	0.008571183373878627	poorsig	7	0		1	1	PPARGC1A	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	12019466	12032045	192.22	rs7537765	MIIP	protein_coding	0.0	.	.	.	.	-24.835642382314543	0.0	85.62480575108295	1.956110425985344	62.74527379475374	0.014463496485902732	poorsig	4	0		0	0	.	0	0	.
1	11650770	12144207	rs7537765	16	493.437	QRS	NPPA	0.0	13.0	poorsig	12063303	12144207	236.057	rs7537765	TNFRSF8	protein_coding	0.0	.	.	.	.	-25.10361746090956	0.0	86.42377269230444	1.956110425985344	63.27626565738022	0.024596886112449572	poorsig	1	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23191895	23217502	192.087	rs2298632	HTR1D	protein_coding	0.0	.	.	.	.	-24.834805375033323	0.0	88.18989231068268	1.956110425985344	65.3111973616347	0.029226872003092805	poorsig	0	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23306632	23344336	77.35	rs2298632	HNRNPR	protein_coding	0.0	.	.	.	.	-24.128661943544724	0.0	81.40177322235863	1.956110425985344	59.22922170479925	6.674425207301467e-05	poorsig	21	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23359448	23369836	24.534	rs2298632	ZNF436	protein_coding	0.0	.	.	.	.	-23.93189418386089	0.0	87.38126474830821	1.956110425985344	65.40548099043266	0.03211657297496764	poorsig	3	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23380909	23424748	3.073	rs2298632	TCEA3	protein_coding	1.0	signet	mindist	coloc	signet+	-23.9076598336846	2.425762480924711	88.18989231068268	1.956110425985344	68.66410538390814	0.8354717893159519	coloc	0	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23436677	23484568	52.695	rs2298632	ASAP3	protein_coding	0.0	.	.	.	.	-24.016134118948884	0.0	87.91959358921665	1.956110425985344	65.8595698962531	0.05057518772082924	poorsig	1	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23506438	23531233	122.456	rs2298632	E2F2	protein_coding	0.0	.	.	.	.	-24.39037697090076	0.0	87.65005191140821	1.956110425985344	65.21578536649281	0.026567178555215405	poorsig	2	0		0	0	.	0	0	.
1	23191895	23559501	rs2298632	7	367.606	QT	TCEA3	1.0	5.0	coloc	23557926	23559501	173.944	rs2298632	ID3	protein_coding	0.0	.	.	.	.	-24.71962482891893	0.0	87.9567829644774	1.956110425985344	65.19326856154382	0.025975655177869966	poorsig	9	3	LMO4;NKX2-5;SREBF1	0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	25818640	25832942	242.292	rs2997447	MTFR1L	protein_coding	0.0	.	.	.	.	-25.140280891747224	0.0	86.84594391360991	1.956110425985344	63.661773447848034	0.010528616409456296	poorsig	5	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	25831913	25859458	229.019	rs2997447	AUNIP	protein_coding	0.0	.	.	.	.	-25.06177030390797	0.0	87.91959358921665	1.956110425985344	64.81393371129403	0.03332331112448674	poorsig	1	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	25871253	25875708	189.679	rs2997447	PAQR7	protein_coding	0.0	.	.	.	.	-24.81963047575493	0.0	88.18989231068268	1.956110425985344	65.32637226091309	0.05562850420602816	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	25892607	25906991	168.325	rs2997447	STMN1	protein_coding	0.0	.	.	.	.	-24.68363147180464	0.0	86.57940524703241	1.9744883951880727	63.87026217041585	0.01296930802536615	poorsig	6	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	25998063	25998117	62.869	rs2997447	PAFAH2	protein_coding	0.0	.	.	.	.	-24.0588829183477	0.0	88.18989231068268	1.956110425985344	66.08711981832033	0.1190380622572893	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26019884	26036464	41.048	rs2997447	EXTL1	protein_coding	1.0	signet	.	.	signet+	-23.974730523618263	0.0	88.18989231068268	1.956110425985344	66.17127221304976	0.1294889679067105	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26046113	26046118	14.819	rs2997447	SLC30A2	protein_coding	0.0	.	.	.	.	-23.916323495603	0.0	85.78424654092797	1.956110425985344	63.82403347131032	0.012383400988201156	poorsig	9	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26067630	26068436	6.698	rs2997447	TRIM63	protein_coding	0.0	.	mindist	.	.	-23.909125260151534	0.0	85.27815232101996	1.956110425985344	63.32513748685377	0.007519209113886545	mindist	25	5	BCAT1;JOSD1;NRAP:exome;SENP2:exome;TTN:exome	0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26111173	26125555	50.241	rs2997447	PDIK1L	protein_coding	0.0	.	.	.	.	-24.006706262822448	0.0	87.91959358921665	1.956110425985344	65.86899775237954	0.09570985076172621	poorsig	1	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26159079	26163962	98.147	rs2997447	FAM110D	protein_coding	0.0	.	.	.	.	-24.2430174432502	0.0	88.18989231068268	1.956110425985344	65.90298529341783	0.09901870463239221	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26164101	26168963	103.169	rs2997447	C1orf232	protein_coding	0.0	.	.	.	.	-24.27251093084084	0.0	88.18989231068268	1.956110425985344	65.87349180582719	0.09614094389876675	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26169908	26170873	108.976	rs2997447	ZNF593	protein_coding	0.0	.	.	.	.	-24.307311654187032	0.0	86.94948399304054	1.956110425985344	64.59828276483886	0.02685914179091865	poorsig	8	1	MAP3K7	0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26171821	26171831	110.889	rs2997447	ZNF593OS	protein_coding	0.0	.	.	.	.	-24.318921229218983	0.0	88.18989231068268	1.956110425985344	65.82708150744904	0.09178097039816697	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26177491	26189884	116.559	rs2997447	CNKSR1	protein_coding	0.0	.	.	.	.	-24.353700287714496	0.0	87.38126474830821	1.956110425985344	64.98367488657905	0.0394880605291294	poorsig	3	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26190561	26202968	129.629	rs2997447	CATSPER4	protein_coding	0.0	.	.	.	.	-24.43554149535804	0.0	88.18989231068268	1.956110425985344	65.71046124130999	0.0816780022953959	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26234200	26278808	173.268	rs2997447	CEP85	protein_coding	0.0	.	.	.	.	-24.715300852012778	0.0	84.99572236191692	1.956110425985344	62.23653193588949	0.00253160986445398	poorsig	11	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26280086	26281522	219.154	rs2997447	SH3BGRL3	protein_coding	0.0	.	.	.	.	-25.00231355899795	0.0	88.18989231068268	1.956110425985344	65.14368917767007	0.0463403305544655	poorsig	0	0		0	0	.	0	0	.
1	25818640	26318363	rs2997447	18	499.723	QRS	TRIM63	0.0	9.0	poorsig	26306636	26318363	245.704	rs2997447	UBXN11	protein_coding	0.0	.	.	.	.	-25.16017901119117	0.0	88.18989231068268	1.956110425985344	64.98582372547685	0.03957300524315966	poorsig	0	0		0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44319744	44355260	226.857	rs272564	ERI3	protein_coding	0.98	signet	.	.	signet+	-25.048818709474176	0.0	88.18989231068268	1.956110425985344	65.09718402719385	0.24247155686513297	poorsig	1	1	KCNJ5:coloc,omim	0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44405194	44651724	141.407	rs272564	RNF220	protein_coding	0.0	.	.	.	.	-24.5106128381066	0.0	87.0109342011786	1.956110425985344	64.45643178905735	0.127757274930917	poorsig	2	0		0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44674459	44674481	127.858	rs272564	TMEM53	protein_coding	0.02	.	mindist	.	.	-24.42434240842165	0.0	87.54849166290128	1.956110425985344	65.08025968046498	0.23840241507587434	mindist	0	0		0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44674692	44725591	128.091	rs272564	ARMH1	protein_coding	0.0	.	.	.	.	-24.425814153531416	0.0	87.54849166290128	1.956110425985344	65.07878793535521	0.23805180555453975	poorsig	0	0		0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44739818	44767767	193.217	rs272564	KIF2C	protein_coding	0.0	.	.	.	.	-24.841912905546334	0.0	85.94483519515175	1.9744883951880727	63.07741068479349	0.03217246845277311	poorsig	6	0		0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44775251	44778779	228.65	rs272564	RPS8	protein_coding	0.0	.	.	.	.	-25.059562967421943	0.0	82.64593185668619	1.956110425985344	59.5424793152496	0.000938173574434368	poorsig	28	3	CACNA1C:omim;CALM1:omim;CAV3:omim	0	0	.	0	0	.
1	44319744	44788170	rs272564	7	468.426	HR	TMEM53	0.0	4.0	poorsig	44783585	44788170	236.984	rs272564	BEST4	protein_coding	0.0	.	.	.	.	-25.10909299440007	0.0	87.54849166290128	1.956110425985344	64.39550909448656	0.12020630554632857	poorsig	0	0		0	0	.	0	0	.
1	50960745	51798427	rs17391905+rs7538988	6	837.682	QRS	C1orf185	0.0	4.0	poorsig	50960745	50974634	119.723	rs17391905	CDKN2C	protein_coding	0.0	.	.	.	.	-24.37332131965516	0.0	86.84594391360991	1.956110425985344	64.4287330199401	0.06978604659437906	poorsig	5	0		0	0	.	0	0	.
1	50960745	51798427	rs17391905+rs7538988	6	837.682	PR+QRS	C1orf185	0.0	4.0	poorsig	51102221	51148086	21.753	rs17391905	C1orf185	protein_coding	1.0	signet	mindist	.	signet+	-23.92667860527734	0.0	88.18989231068268	1.956110425985344	66.21932413139069	0.41822735481962703	mindist	0	0		0	0	.	0	0	.
1	50960745	51798427	rs17391905+rs7538988	6	837.682	PR+QRS	C1orf185	0.0	4.0	poorsig	51236273	51273447	115.596	rs7538988	RNF11	protein_coding	0.0	.	.	.	.	-24.34775713925521	0.0	84.06415149231002	1.956110425985344	61.67250477904015	0.004433573168968694	poorsig	18	1	ACVR2A	0	0	.	0	0	.
1	50960745	51798427	rs17391905+rs7538988	6	837.682	PR+QRS	C1orf185	0.0	4.0	poorsig	51297990	51345116	53.879	rs7538988	TTC39A	protein_coding	0.0	.	.	.	.	-24.020810528931424	0.0	88.18989231068268	1.956110425985344	66.1251922077366	0.3806549310878268	poorsig	0	0		0	0	.	0	0	.
1	50960745	51798427	rs17391905+rs7538988	6	837.682	PR	C1orf185	0.0	4.0	poorsig	51519241	51519266	167.372	rs7538988	EPS15	protein_coding	0.0	.	.	.	.	-24.67751638513423	0.0	85.99626277196839	1.956110425985344	63.27485681281951	0.022011342245962406	poorsig	14	2	GJA1;SGIP1	0	0	.	0	0	.
1	50960745	51798427	rs17391905+rs7538988	6	837.682	PR	C1orf185	0.0	4.0	poorsig	51577179	51798427	225.31	rs7538988	OSBPL9	protein_coding	0.0	.	.	.	.	-25.03952386300781	0.0	87.91959358921665	1.956110425985344	64.83618015219417	0.10488675208323613	poorsig	1	0		0	0	.	0	0	.
1	61408005	61725423	rs2207790+rs9436640	1	317.418	QRS	TM2D1	0.0	0.0	poorsig	61725141	61725423	292.846	rs2207790	TM2D1	protein_coding	1.0	signet	mindist	.	signet+	-25.422854748911387	0.0	88.18989231068268	1.956110425985344	64.72314798775663	1.0	mindist	0	0		0	0	.	0	0	.
