phenotype	locus_name	gene_name	gene_locusdist_kbp
HR	rs1468333	CDC25C	114523
HR	rs1468333	FAM53C	114654
HR	rs1468333	WNT8A	133291
HR	rs1468333	KDM3B	135404
HR	rs1468333	FAM13B	184250
HR	rs1468333	REEP2	221776
HR	rs1468333	EGR1	248198
HR	rs1483890	FRMD4B	24514
HR	rs1483890	LMOD3	238979
HR	rs10497529+rs151041685	CCDC141	30753
HR	rs10497529+rs151041685	TTN	53087
HR	rs10497529+rs151041685	SESTD1	126517
HR	rs1549118	ADCK1	113232
HR	rs1549118	SNW1	152185
HR	rs1549118	SLIRP	205270
HR	rs1549118	ALKBH1	240937
HR	rs1592560	NUBP1	25956
HR	rs1592560	TEKT5	46052
HR	rs1592560	TVP23A	100777
HR	rs1592560	EMP2	137232
HR	rs1592560	CIITA	148392
HR	rs1592560	DEXI	224301
HR	rs1592560	CLEC16A	226734
HR	rs16974196	C19orf47	8027
HR	rs16974196	PLD3	20893
HR	rs16974196	AKT2	42218
HR	rs16974196	HIPK4	51708
HR	rs16974196	PRX	71253
HR	rs16974196	SERTAD1	94026
HR	rs16974196	CCNP	100874
HR	rs16974196	TTC9B	111505
HR	rs16974196	SERTAD3	115035
HR	rs16974196	BLVRB	120202
HR	rs16974196	MAP3K10	136137
HR	rs16974196	SPTBN4	138678
HR	rs16974196	ZNF780A	236675
HR	rs16974196	SHKBP1	249290
HR	rs17180489	DPF3	190271
HR	rs17201923	FLRT2	199924
HR	rs17265513	ZHX3	53
HR	rs17265513	PLCG1	67028
HR	rs17265513	LPIN3	136833
HR	rs17265513	EMILIN3	155974
HR	rs17265513	TOP1	175166
HR	rs174536	TMEM258	6148
HR	rs174536	FEN1	8456
HR	rs174536	FADS2	8525
HR	rs174536	MYRF	31819
HR	rs174536	FADS1	32548
HR	rs174536	FADS3	89064
HR	rs174536	DAGLA	104064
HR	rs174536	RAB3IL1	133111
HR	rs174536	BEST1	165896
HR	rs174536	FTH1	183176
HR	rs17494056	WDSUB1	39578
HR	rs17494056	BAZ2B	122759
HR	rs17494056	TANC1	227580
HR	rs17881696	ACHE	148
HR	rs17881696	UFSP1	7017
HR	rs17881696	SRRT	20635
HR	rs17881696	TRIP6	28351
HR	rs17881696	MUC3A	53796
HR	rs17881696	EPHB4	68623
HR	rs17881696	SLC12A9	68918
HR	rs17881696	MUC12	73885
HR	rs17881696	MUC17	124334
HR	rs17881696	ZAN	162143
HR	rs17881696	EPO	175270
HR	rs17881696	POP7	189617
HR	rs17881696	TRIM56	189743
HR	rs17881696	GIGYF1	206290
HR	rs17881696	GNB2	222171
HR	rs17881696	SERPINE1	231366
HR	rs180239	GNG11	632
HR	rs180239	TFPI2	35707
HR	rs180239	BET1	83252
HR	rs182770070	NMNAT1	3010
HR	rs182770070	LZIC	4798
HR	rs182770070	CTNNBIP1	30149
HR	rs182770070	RBP7	56788
HR	rs182770070	UBE4B	92414
HR	rs182770070	CLSTN1	116453
HR	rs1994135	SYT10	155232
HR	rs2076028	SUN2	548
HR	rs2076028	DNAL4	39698
HR	rs2076028	GTPBP1	48703
HR	rs2076028	JOSD1	53778
HR	rs2076028	NPTXR	64007
HR	rs2076028	TOMM22	72488
HR	rs2076028	CBY1	97809
HR	rs2076028	FAM227A	98053
HR	rs2076028	CBX6	117771
HR	rs2076028	DMC1	184262
HR	rs2076028	APOBEC3A	198296
HR	rs2076028	APOBEC3B	227902
HR	rs2076028	DDX17	248134
HR	rs2152735	LMO4	98569
HR	rs2283274	DCP1B	70843
HR	rs2283274	CACNA1C	104528
HR	rs2283274	CACNA2D4	221263
HR	rs2283847	MN1	37134
HR	rs2283847	PITPNB	133845
HR	rs2283847	TTC28	192603
HR	rs2358740	DCP1A	73999
HR	rs2358740	CACNA1D	92579
HR	rs2358740	TKT	165520
HR	rs236349	PPIL1	5846
HR	rs236349	C6orf89	19081
HR	rs236349	CPNE5	95408
HR	rs236349	PI16	95474
HR	rs236349	MTCH1	119235
HR	rs236349	FGD2	152857
HR	rs236349	RAB44	154963
HR	rs236349	CDKN1A	176329
HR	rs272564	TMEM53	127858
HR	rs272564	ARMH1	128091
HR	rs272564	RNF220	141407
HR	rs272564	KIF2C	193217
HR	rs272564	ERI3	226857
HR	rs272564	RPS8	228650
HR	rs272564	BEST4	236984
HR	rs2744375	DSP	12989
HR	rs2744375	SNRNP48	35592
HR	rs2744375	RIOK1	164798
HR	rs2744375	CAGE1	165216
HR	rs2744375	BMP6	171493
HR	rs2744375	SSR1	241399
HR	rs3749237	IP6K1	8305
HR	rs3749237	GMPPB	8648
HR	rs3749237	AMIGO3	15770
HR	rs3749237	RNF123	43061
HR	rs3749237	MST1	47509
HR	rs3749237	APEH	58585
HR	rs3749237	CDHR4	60332
HR	rs3749237	INKA1	70662
HR	rs3749237	UBA7	72610
HR	rs3749237	TRAIP	123965
HR	rs3749237	CAMKV	137304
HR	rs3749237	MST1R	154403
HR	rs3749237	BSN	178122
HR	rs3749237	MON1A	196927
HR	rs3749237	RBM6	207408
HR	rs1320761+rs3792943	GJA1	1771
HR	rs1320761+rs3792943	TBC1D32	200304
HR	rs3915499	CEP20	71717
HR	rs3915499	MYH11	113751
HR	rs3915499	ABCC1	132252
HR	rs3915499	NDE1	173619
HR	rs3915499	MARF1	173862
HR	rs10457327+rs3951016	PLN	177307
HR	rs10457327+rs3951016	SSXP10	218081
HR	rs2745959+rs41317993	CD34	4822
HR	rs2745959+rs41317993	CD46	36350
HR	rs2745959+rs41317993	PLXNA2	106295
HR	rs2745959+rs41317993	CR1L	143274
HR	rs41748	CAPZA2	4551
HR	rs41748	MET	134323
HR	rs41748	ST7	146719
HR	rs422068	MYH6	11483
HR	rs422068	MYH7	17145
HR	rs422068	CMTM5	18822
HR	rs422068	IL25	22786
HR	rs422068	EFS	29962
HR	rs422068	SLC22A17	42735
HR	rs422068	NGDN	74094
HR	rs422068	PABPN1	74138
HR	rs422068	BCL2L2-PABPN1	88762
HR	rs422068	BCL2L2	96805
HR	rs422068	PPP1R3E	99943
HR	rs422068	HOMEZ	109463
HR	rs422068	ZFHX2	156170
HR	rs422068	THTPA	160393
HR	rs422068	AP1G2	163970
HR	rs422068	JPH4	183190
HR	rs422068	RNF212B	210279
HR	rs422068	DHRS2	234520
HR	rs422068	SLC7A8	240286
HR	rs4608502	MFF	55712
HR	rs4608502	COL4A3	104815
HR	rs4608502	COL4A4	105234
HR	rs4608502	TM4SF20	109867
HR	rs4608502	SCYGR1	118244
HR	rs4608502	AGFG1	202713
HR	rs4868243	NKX2-5	19091
HR	rs4868243	BNIP1	71673
HR	rs4868243	STC2	112299
HR	rs4868243	CREBRF	159763
HR	rs4868243	ATP6V0E1	232344
HR	rs4900069	DGLUCY	56696
HR	rs4900069	GPR68	115503
HR	rs4900069	CCDC88C	172302
HR	rs4963772	BCAT1	204478
HR	rs56233017	PLEC	32277
HR	rs56233017	EPPK1	49996
HR	rs56233017	NRBP2	73737
HR	rs56233017	PARP10	77038
HR	rs56233017	PUF60	78005
HR	rs56233017	GRINA	82736
HR	rs56233017	SCRIB	91941
HR	rs56233017	SPATC1	104960
HR	rs56233017	OPLAH	153372
HR	rs56233017	EXOSC4	171328
HR	rs56233017	IQANK1	173180
HR	rs56233017	FAM83H	173541
HR	rs56233017	GPAA1	175270
HR	rs56233017	CYC1	187719
HR	rs56233017	MAPK15	190980
HR	rs56233017	SHARPIN	192002
HR	rs56233017	MAF1	197141
HR	rs56233017	WDR97	200406
HR	rs56233017	CCDC166	200626
HR	rs56233017	ZNF707	222868
HR	rs56233017	HGH1	230454
HR	rs56233017	MROH1	240696
HR	rs564190295	WIPF1	48366
HR	rs564190295	CHRNA1	81527
HR	rs564190295	CHN1	164610
HR	rs564190295	GPR155	195857
HR	rs58437978	TBX20	16235
HR	rs6123471	TGM2	46484
HR	rs6123471	KIAA1755	48981
HR	rs6123471	BPI	92402
HR	rs6123471	LBP	134728
HR	rs6123471	RPRD1B	178008
HR	rs6123471	TTI1	228747
HR	rs61735998	TPGS2	89263
HR	rs61735998	KIAA1328	119784
HR	rs62144050	MEIS1	64478
HR	rs62172372	CALCRL	70610
HR	rs62172372	TFPI	135999
HR	rs41312411+rs6599255	SCN5A	53603
HR	rs41312411+rs6599255	SCN10A	58122
HR	rs41312411+rs6599255	EXOG	83619
HR	rs41312411+rs6599255	ACVR2B	125856
HR	rs41312411+rs6599255	XYLB	232986
HR	rs6845865	NR3C2	25311
HR	rs7173389	HCN4	51703
HR	rs7173389	REC114	71602
HR	rs7194801	CDH11	130931
HR	rs73158705	CHRM2	22701
HR	rs748802	SPAAR	31
HR	rs748802	HRCT1	3319
HR	rs748802	OR13J1	40058
HR	rs748802	OR2S2	47587
HR	rs748802	FAM221B	80789
HR	rs748802	TMEM8B	95070
HR	rs748802	HINT2	95751
HR	rs748802	SPAG8	98447
HR	rs748802	NPR2	118518
HR	rs748802	RECK	127392
HR	rs748802	MSMP	155245
HR	rs748802	RGP1	160234
HR	rs748802	GBA2	172655
HR	rs748802	CREB3	176923
HR	rs748802	TLN1	212573
HR	rs748802	TPM2	224719
HR	rs748802	GLIPR2	227015
HR	rs748802	CA9	235593
HR	rs75190942	KCNJ5	3320
HR	rs75190942	C11orf45	11021
HR	rs75190942	KCNJ1	27380
HR	rs75190942	TP53AIP1	48251
HR	rs75190942	FLI1	208141
HR	rs7612445	GNB4	3721
HR	rs7612445	MFN1	107482
HR	rs7612445	ACTL6A	107695
HR	rs7612445	ZNF639	132160
HR	rs7612445	MRPL47	149447
HR	rs7612445	NDUFB5	149499
HR	rs7612445	KCNMB3	195983
HR	rs7612445	USP13	197841
HR	rs79121763	TEKT3	15039
HR	rs79121763	PMP22	28772
HR	rs79121763	TVP23C-CDRT4	144059
HR	rs79121763	CDRT4	175659
HR	rs867400	RASSF3	76069
HR	rs867400	TBK1	130980
HR	rs867400	GNS	169801
HR	rs867400	TBC1D30	176414
HR	rs867400	XPOT	178678
HR	rs867400	C12orf56	192379
HR	rs907683	SPEG	24
HR	rs907683	DES	16442
HR	rs907683	DNPEP	47023
HR	rs907683	SPEGNB	61312
HR	rs907683	GMPPA	64046
HR	rs907683	ASIC4	79351
HR	rs907683	CHPF	104135
HR	rs907683	RESP18	107412
HR	rs907683	TMEM198	108844
HR	rs907683	PTPRN	125418
HR	rs907683	INHA	134343
HR	rs907683	OBSL1	136720
HR	rs907683	DNAJB2	155477
HR	rs907683	STK11IP	163038
HR	rs907683	TUBA4A	180901
HR	rs907683	TUBA4B	181576
HR	rs907683	STK16	189364
HR	rs907683	GLB1L	189375
HR	rs907683	SLC4A3	192575
HR	rs907683	ANKZF1	205036
HR	rs907683	ATG9A	205193
HR	rs907683	ABCB6	223780
HR	rs907683	ZFAND2B	239582
HR	rs9326726	FER	336151
